CustomerID,Name,AcquisitionDate,ExpirationDate,Item,Quantity,Calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Choline
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-01,2024-07-07,"Duck, roasted, cooked, meat and skin, domesticated",3,337,28g,9.7g,84mg,59.00 mg,50.4 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-02,2024-07-07,"Blueberries, drained, heavy syrup, canned, wild",3,107,0.3g,,0,1.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-03,2024-07-17,"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",4,520,32g,19g,7mg,4.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-04,2024-07-09,"Lemon juice from concentrate, CONCORD, bottled",2,24,0.1g,,0,29.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-05,2024-07-17,"Pork, roasted, separable lean and fat, arm picnic, shoulder, cured",1,280,21g,7.7g,58mg,1072.00 mg,79.8 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-06,2024-07-13,"Cereals, dry, Ham 'n' Cheese flavor, Instant Grits, QUAKER",4,355,4.7g,1.1g,1mg,1930.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-07,2024-07-15,"Pork, microwaved, cooked, bacon, cured",1,476,34g,12g,111mg,1783.00 mg,107.2 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-08,2024-07-14,"Liver sausage, pork, liverwurst",1,326,29g,11g,158mg,860.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-09,2024-07-23,"Drumstick leaves, raw",5,64,1.4g,,0,9.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-10,2024-07-19,"Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground",5,270,18g,6.9g,89mg,96.00 mg,78.3 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-11,2024-07-16,"Blackberries, unsweetened, frozen",2,64,0.4g,,0,1.00 mg,8.5 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-12,2024-07-18,"CAMPBELL'S CHUNKY Soups, Grilled Sirloin Steak with Hearty Vegetables Soup",1,51,0.8g,0.4g,4mg,363.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-13,2024-07-18,"Frankfurter, meat",1,290,26g,7.7g,77mg,1090.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-14,2024-07-19,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",1,323,25g,10g,83mg,64.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-15,2024-07-22,"Beverages, Protein powder soy based",3,388,5.6g,1.1g,0,733.00 mg,312.9 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-16,2024-07-27,"Sausage, beef, pork, Berliner",5,230,17g,6.1g,46mg,1297.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-17,2024-07-22,"KEEBLER, Cheese & Peanut Butter Sandwich Crackers",4,492,25g,3.7g,0,843.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-18,2024-07-29,"Cereals ready-to-eat, unfrosted bite size, KELLOGG'S MINI-WHEATS, KELLOGG",3,342,2g,0.5g,0,2.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-19,2024-07-27,"Nuts, raw, japanese, chestnuts",1,154,0.5g,0.1g,0,14.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-20,2024-08-01,"Gravy, fat free, slow roast, chicken, FRANCO-AMERICAN",4,34,0g,,8mg,424.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-21,2024-08-01,"Cheese, soft type, goat",5,264,21g,15g,46mg,459.00 mg,15.4 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-22,2024-08-02,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, arm pot roast, chuck",3,212,7.7g,2.9g,100mg,54.00 mg,127.1 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-23,2024-08-04,"KASHI, Oatmeal Raisin Flax Cookies, TLC",5,414,15g,1.6g,0,236.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-24,2024-07-31,"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",1,219,11g,4.1g,89mg,58.00 mg,110.5 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-25,2024-08-07,Catsup,3,101,0.1g,,0,907.00 mg,12.5 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-26,2024-08-02,"Ice creams, All Natural Light Vanilla, BREYERS",3,162,4.6g,2.9g,15mg,71.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-27,2024-08-09,"Cranberry juice cocktail, frozen concentrate",2,201,0g,,0,4.00 mg,0
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-28,2024-08-06,"Babyfood, pasta with vegetables, dinner",5,60,2.1g,1.2g,5mg,11.00 mg,6.4 mg
e4783612-783f-490b-b8cf-325e9d5f7098,Elizabeth Gonzalez,2024-07-29,2024-08-12,"Biscuits, baked, lower fat, refrigerated dough, plain or buttermilk",1,319,9.1g,3.6g,0,962.00 mg,4.1 mg
